pc,n_label,skew_rate_label,kv_big_label,kp_label,alpha,n_samples
16,n<=16,sr<=15%,kvB<=8k,kp=0,0.0321,2
16,n<=16,sr<=40%,kvB<=1k,kp<=1k,0.1292,4
16,n<=16,sr<=40%,kvB<=1k,kp<=2k,0.1268,4
16,n<=16,sr<=40%,kvB<=1k,kp<=4k,0.1231,4
16,n<=16,sr<=40%,kvB<=1k,kp<=512,0.1523,4
16,n<=16,sr<=40%,kvB<=1k,kp=0,0.1801,4
16,n<=16,sr<=40%,kvB<=4k,kp<=1k,0.0442,4
16,n<=16,sr<=40%,kvB<=4k,kp<=2k,0.0295,4
16,n<=16,sr<=40%,kvB<=4k,kp<=4k,-0.014,4
16,n<=16,sr<=40%,kvB<=4k,kp<=512,0.0467,4
16,n<=16,sr<=40%,kvB<=4k,kp=0,0.0379,4
16,n<=16,sr<=40%,kvB<=8k,kp<=1k,0.0236,2
16,n<=16,sr<=40%,kvB<=8k,kp<=2k,0.0243,2
16,n<=16,sr<=40%,kvB<=8k,kp<=4k,0.0265,2
16,n<=16,sr<=40%,kvB<=8k,kp<=512,0.0234,2
16,n<=16,sr<=40%,kvB<=8k,kp=0,0.0215,2
16,n<=16,sr<=70%,kvB<=1k,kp<=1k,0.0306,2
16,n<=16,sr<=70%,kvB<=1k,kp<=2k,-0.0038,2
16,n<=16,sr<=70%,kvB<=1k,kp<=4k,-0.036,2
16,n<=16,sr<=70%,kvB<=1k,kp<=512,0.0282,2
16,n<=16,sr<=70%,kvB<=1k,kp=0,0.0474,2
16,n<=16,sr<=70%,kvB<=4k,kp<=1k,-0.036,2
16,n<=16,sr<=70%,kvB<=4k,kp<=2k,-0.0545,2
16,n<=16,sr<=70%,kvB<=4k,kp<=4k,-0.059,2
16,n<=16,sr<=70%,kvB<=4k,kp<=512,-0.0406,2
16,n<=16,sr<=70%,kvB<=4k,kp=0,-0.0535,2
16,n<=16,sr<=70%,kvB<=8k,kp<=1k,0.0116,1
16,n<=16,sr<=70%,kvB<=8k,kp<=2k,0.0093,1
16,n<=16,sr<=70%,kvB<=8k,kp<=4k,0.0077,1
16,n<=16,sr<=70%,kvB<=8k,kp<=512,0.0138,1
16,n<=16,sr<=70%,kvB<=8k,kp=0,0.0089,1
16,n<=16,sr>70%,kvB<=1k,kp<=1k,0.2081,4
16,n<=16,sr>70%,kvB<=1k,kp<=2k,0.1924,4
16,n<=16,sr>70%,kvB<=1k,kp<=4k,0.1314,4
16,n<=16,sr>70%,kvB<=1k,kp<=512,0.229,4
16,n<=16,sr>70%,kvB<=1k,kp=0,0.2022,4
16,n<=16,sr>70%,kvB<=4k,kp<=1k,-0.2623,4
16,n<=16,sr>70%,kvB<=4k,kp<=2k,-0.2836,4
16,n<=16,sr>70%,kvB<=4k,kp<=4k,-0.1841,4
16,n<=16,sr>70%,kvB<=4k,kp<=512,-0.2641,4
16,n<=16,sr>70%,kvB<=4k,kp=0,-0.3333,4
16,n<=16,sr>70%,kvB<=8k,kp<=1k,-0.5741,2
16,n<=16,sr>70%,kvB<=8k,kp<=2k,-0.7194,2
16,n<=16,sr>70%,kvB<=8k,kp<=4k,-0.4671,2
16,n<=16,sr>70%,kvB<=8k,kp<=512,-0.5414,2
16,n<=16,sr>70%,kvB<=8k,kp=0,-0.6468,2
16,n<=2,sr<=70%,kvB<=1k,kp<=1k,0.5895,2
16,n<=2,sr<=70%,kvB<=1k,kp<=2k,0.5756,2
16,n<=2,sr<=70%,kvB<=1k,kp<=4k,0.5022,2
16,n<=2,sr<=70%,kvB<=1k,kp<=512,0.4751,2
16,n<=2,sr<=70%,kvB<=1k,kp=0,-0.2697,2
16,n<=2,sr<=70%,kvB<=4k,kp<=1k,0.041,2
16,n<=2,sr<=70%,kvB<=4k,kp<=2k,0.2801,2
16,n<=2,sr<=70%,kvB<=4k,kp<=4k,0.7391,2
16,n<=2,sr<=70%,kvB<=4k,kp<=512,-0.0291,2
16,n<=2,sr<=70%,kvB<=4k,kp=0,-0.115,2
16,n<=2,sr<=70%,kvB<=8k,kp<=1k,-0.0901,1
16,n<=2,sr<=70%,kvB<=8k,kp<=2k,-0.0629,1
16,n<=2,sr<=70%,kvB<=8k,kp<=4k,0.2359,1
16,n<=2,sr<=70%,kvB<=8k,kp<=512,-0.1038,1
16,n<=2,sr<=70%,kvB<=8k,kp=0,-0.1407,1
16,n<=32,sr<=15%,kvB<=1k,kp<=1k,0.0245,6
16,n<=32,sr<=15%,kvB<=1k,kp<=2k,0.0248,6
16,n<=32,sr<=15%,kvB<=1k,kp<=4k,0.029,6
16,n<=32,sr<=15%,kvB<=1k,kp<=512,0.0297,6
16,n<=32,sr<=15%,kvB<=1k,kp=0,0.0393,6
16,n<=32,sr<=15%,kvB<=4k,kp<=1k,-0.0212,6
16,n<=32,sr<=15%,kvB<=4k,kp<=2k,-0.0213,6
16,n<=32,sr<=15%,kvB<=4k,kp<=4k,-0.0309,6
16,n<=32,sr<=15%,kvB<=4k,kp<=512,-0.0179,6
16,n<=32,sr<=15%,kvB<=4k,kp=0,-0.0182,6
16,n<=32,sr<=15%,kvB<=8k,kp<=1k,-0.0138,3
16,n<=32,sr<=15%,kvB<=8k,kp<=2k,-0.0132,3
16,n<=32,sr<=15%,kvB<=8k,kp<=4k,-0.0134,3
16,n<=32,sr<=15%,kvB<=8k,kp<=512,-0.0131,3
16,n<=32,sr<=15%,kvB<=8k,kp=0,-0.0147,3
16,n<=32,sr<=40%,kvB<=1k,kp<=1k,0.0467,2
16,n<=32,sr<=40%,kvB<=1k,kp<=2k,0.0636,2
16,n<=32,sr<=40%,kvB<=1k,kp<=4k,0.0827,2
16,n<=32,sr<=40%,kvB<=1k,kp<=512,0.0395,2
16,n<=32,sr<=40%,kvB<=1k,kp=0,0.0596,2
16,n<=32,sr<=40%,kvB<=4k,kp<=1k,-0.1164,2
16,n<=32,sr<=40%,kvB<=4k,kp<=2k,-0.1123,2
16,n<=32,sr<=40%,kvB<=4k,kp<=4k,-0.105,2
16,n<=32,sr<=40%,kvB<=4k,kp<=512,-0.1215,2
16,n<=32,sr<=40%,kvB<=4k,kp=0,-0.1249,2
16,n<=32,sr<=40%,kvB<=8k,kp<=1k,-0.049,1
16,n<=32,sr<=40%,kvB<=8k,kp<=2k,-0.0512,1
16,n<=32,sr<=40%,kvB<=8k,kp<=4k,-0.0589,1
16,n<=32,sr<=40%,kvB<=8k,kp<=512,-0.0555,1
16,n<=32,sr<=40%,kvB<=8k,kp=0,-0.0581,1
16,n<=32,sr<=5%,kvB<=1k,kp<=1k,0.0065,2
16,n<=32,sr<=5%,kvB<=1k,kp<=2k,0.008,2
16,n<=32,sr<=5%,kvB<=1k,kp<=4k,0.0122,2
16,n<=32,sr<=5%,kvB<=1k,kp<=512,0.0124,2
16,n<=32,sr<=5%,kvB<=1k,kp=0,0.0179,2
16,n<=32,sr<=5%,kvB<=4k,kp<=1k,0.0208,2
16,n<=32,sr<=5%,kvB<=4k,kp<=2k,0.012,2
16,n<=32,sr<=5%,kvB<=4k,kp<=4k,-0.0061,2
16,n<=32,sr<=5%,kvB<=4k,kp<=512,0.024,2
16,n<=32,sr<=5%,kvB<=4k,kp=0,0.0219,2
16,n<=32,sr<=5%,kvB<=8k,kp<=1k,0.0089,1
16,n<=32,sr<=5%,kvB<=8k,kp<=2k,0.0075,1
16,n<=32,sr<=5%,kvB<=8k,kp<=4k,0.0032,1
16,n<=32,sr<=5%,kvB<=8k,kp<=512,0.0088,1
16,n<=32,sr<=5%,kvB<=8k,kp=0,0.0096,1
16,n<=32,sr<=70%,kvB<=1k,kp<=1k,-0.0703,2
16,n<=32,sr<=70%,kvB<=1k,kp<=2k,-0.0534,2
16,n<=32,sr<=70%,kvB<=1k,kp<=4k,-0.0151,2
16,n<=32,sr<=70%,kvB<=1k,kp<=512,-0.0732,2
16,n<=32,sr<=70%,kvB<=1k,kp=0,-0.0644,2
16,n<=32,sr<=70%,kvB<=4k,kp<=1k,-0.255,2
16,n<=32,sr<=70%,kvB<=4k,kp<=2k,-0.2316,2
16,n<=32,sr<=70%,kvB<=4k,kp<=4k,-0.1963,2
16,n<=32,sr<=70%,kvB<=4k,kp<=512,-0.25,2
16,n<=32,sr<=70%,kvB<=4k,kp=0,-0.2572,2
16,n<=32,sr<=70%,kvB<=8k,kp<=1k,-0.0613,1
16,n<=32,sr<=70%,kvB<=8k,kp<=2k,-0.068,1
16,n<=32,sr<=70%,kvB<=8k,kp<=4k,-0.0729,1
16,n<=32,sr<=70%,kvB<=8k,kp<=512,-0.067,1
16,n<=32,sr<=70%,kvB<=8k,kp=0,-0.0623,1
16,n<=32,sr>70%,kvB<=1k,kp<=1k,0.2222,4
16,n<=32,sr>70%,kvB<=1k,kp<=2k,0.2336,4
16,n<=32,sr>70%,kvB<=1k,kp<=4k,0.3184,4
16,n<=32,sr>70%,kvB<=1k,kp<=512,0.2257,4
16,n<=32,sr>70%,kvB<=1k,kp=0,0.1559,4
16,n<=32,sr>70%,kvB<=4k,kp<=1k,-0.2999,4
16,n<=32,sr>70%,kvB<=4k,kp<=2k,-0.2541,4
16,n<=32,sr>70%,kvB<=4k,kp<=4k,-0.2143,4
16,n<=32,sr>70%,kvB<=4k,kp<=512,-0.3067,4
16,n<=32,sr>70%,kvB<=4k,kp=0,-0.3291,4
16,n<=32,sr>70%,kvB<=8k,kp<=1k,-0.3529,2
16,n<=32,sr>70%,kvB<=8k,kp<=2k,-0.3194,2
16,n<=32,sr>70%,kvB<=8k,kp<=4k,-0.29,2
16,n<=32,sr>70%,kvB<=8k,kp<=512,-0.42,2
16,n<=32,sr>70%,kvB<=8k,kp=0,-0.3965,2
16,n<=4,sr<=40%,kvB<=1k,kp<=1k,0.2133,2
16,n<=4,sr<=40%,kvB<=1k,kp<=2k,0.1694,2
16,n<=4,sr<=40%,kvB<=1k,kp<=4k,0.214,2
16,n<=4,sr<=40%,kvB<=1k,kp<=512,0.3047,2
16,n<=4,sr<=40%,kvB<=1k,kp=0,0.2564,5
16,n<=4,sr<=40%,kvB<=4k,kp<=1k,0.2996,2
16,n<=4,sr<=40%,kvB<=4k,kp<=2k,0.1944,2
16,n<=4,sr<=40%,kvB<=4k,kp<=4k,-0.0968,2
16,n<=4,sr<=40%,kvB<=4k,kp<=512,0.2623,2
16,n<=4,sr<=40%,kvB<=4k,kp=0,0.0674,3
16,n<=4,sr<=40%,kvB<=8k,kp<=1k,0.1451,1
16,n<=4,sr<=40%,kvB<=8k,kp<=2k,0.2244,1
16,n<=4,sr<=40%,kvB<=8k,kp<=4k,0.3128,1
16,n<=4,sr<=40%,kvB<=8k,kp<=512,0.1122,1
16,n<=4,sr<=40%,kvB<=8k,kp=0,0.0338,1
16,n<=4,sr<=70%,kvB<=1k,kp<=1k,-0.0672,2
16,n<=4,sr<=70%,kvB<=1k,kp<=2k,-0.2214,2
16,n<=4,sr<=70%,kvB<=1k,kp<=4k,-0.1609,2
16,n<=4,sr<=70%,kvB<=1k,kp<=512,0.1598,2
16,n<=4,sr<=70%,kvB<=1k,kp=0,0.1936,4
16,n<=4,sr<=70%,kvB<=4k,kp<=1k,0.2602,2
16,n<=4,sr<=70%,kvB<=4k,kp<=2k,0.2203,2
16,n<=4,sr<=70%,kvB<=4k,kp<=4k,-0.365,2
16,n<=4,sr<=70%,kvB<=4k,kp<=512,0.1763,2
16,n<=4,sr<=70%,kvB<=4k,kp=0,-0.0515,2
16,n<=4,sr<=70%,kvB<=8k,kp<=1k,0.069,1
16,n<=4,sr<=70%,kvB<=8k,kp<=2k,0.191,1
16,n<=4,sr<=70%,kvB<=8k,kp<=4k,0.1961,1
16,n<=4,sr<=70%,kvB<=8k,kp<=512,0.0436,1
16,n<=4,sr<=70%,kvB<=8k,kp=0,-0.0085,1
16,n<=4,sr>70%,kvB<=1k,kp<=1k,0.2521,2
16,n<=4,sr>70%,kvB<=1k,kp<=2k,-0.0456,2
16,n<=4,sr>70%,kvB<=1k,kp<=4k,0.055,2
16,n<=4,sr>70%,kvB<=1k,kp<=512,0.5721,2
16,n<=4,sr>70%,kvB<=1k,kp=0,0.1826,2
16,n<=4,sr>70%,kvB<=4k,kp<=1k,0.1663,2
16,n<=4,sr>70%,kvB<=4k,kp<=2k,0.2556,2
16,n<=4,sr>70%,kvB<=4k,kp<=4k,0.1451,2
16,n<=4,sr>70%,kvB<=4k,kp<=512,-0.0734,2
16,n<=4,sr>70%,kvB<=4k,kp=0,-0.4241,2
16,n<=4,sr>70%,kvB<=8k,kp<=1k,-0.3544,1
16,n<=4,sr>70%,kvB<=8k,kp<=2k,-0.1929,1
16,n<=4,sr>70%,kvB<=8k,kp<=4k,0.2919,1
16,n<=4,sr>70%,kvB<=8k,kp<=512,-0.5493,1
16,n<=4,sr>70%,kvB<=8k,kp=0,-0.6655,1
16,n<=8,sr<=15%,kvB<=1k,kp<=1k,0.0318,2
16,n<=8,sr<=15%,kvB<=1k,kp<=2k,0.0979,2
16,n<=8,sr<=15%,kvB<=1k,kp<=4k,0.0977,2
16,n<=8,sr<=15%,kvB<=1k,kp<=512,0.1536,2
16,n<=8,sr<=15%,kvB<=1k,kp=0,0.2161,5
16,n<=8,sr<=15%,kvB<=4k,kp<=1k,0.1438,2
16,n<=8,sr<=15%,kvB<=4k,kp<=2k,0.102,2
16,n<=8,sr<=15%,kvB<=4k,kp<=4k,0.009,2
16,n<=8,sr<=15%,kvB<=4k,kp<=512,0.1489,2
16,n<=8,sr<=15%,kvB<=4k,kp=0,0.1107,3
16,n<=8,sr<=15%,kvB<=8k,kp<=1k,0.092,1
16,n<=8,sr<=15%,kvB<=8k,kp<=2k,0.1083,1
16,n<=8,sr<=15%,kvB<=8k,kp<=4k,0.1106,1
16,n<=8,sr<=15%,kvB<=8k,kp<=512,0.0752,1
16,n<=8,sr<=15%,kvB<=8k,kp=0,0.0779,1
16,n<=8,sr<=40%,kvB<=1k,kp<=1k,0.059,4
16,n<=8,sr<=40%,kvB<=1k,kp<=2k,0.0415,4
16,n<=8,sr<=40%,kvB<=1k,kp<=4k,0.1196,4
16,n<=8,sr<=40%,kvB<=1k,kp<=512,0.1505,4
16,n<=8,sr<=40%,kvB<=1k,kp=0,0.1806,4
16,n<=8,sr<=40%,kvB<=4k,kp<=1k,0.0889,4
16,n<=8,sr<=40%,kvB<=4k,kp<=2k,0.0402,4
16,n<=8,sr<=40%,kvB<=4k,kp<=4k,-0.0957,4
16,n<=8,sr<=40%,kvB<=4k,kp<=512,0.0841,4
16,n<=8,sr<=40%,kvB<=4k,kp=0,0.0351,4
16,n<=8,sr<=40%,kvB<=8k,kp<=1k,0.0253,2
16,n<=8,sr<=40%,kvB<=8k,kp<=2k,0.0689,2
16,n<=8,sr<=40%,kvB<=8k,kp<=4k,0.0944,2
16,n<=8,sr<=40%,kvB<=8k,kp<=512,0.0077,2
16,n<=8,sr<=40%,kvB<=8k,kp=0,0.0131,2
16,n<=8,sr<=70%,kvB<=1k,kp<=1k,-0.0699,2
16,n<=8,sr<=70%,kvB<=1k,kp<=2k,-0.0887,2
16,n<=8,sr<=70%,kvB<=1k,kp<=4k,0.0549,2
16,n<=8,sr<=70%,kvB<=1k,kp<=512,0.1402,2
16,n<=8,sr<=70%,kvB<=1k,kp=0,0.0935,2
16,n<=8,sr<=70%,kvB<=4k,kp<=1k,0.0444,2
16,n<=8,sr<=70%,kvB<=4k,kp<=2k,0.0556,2
16,n<=8,sr<=70%,kvB<=4k,kp<=4k,-0.1188,2
16,n<=8,sr<=70%,kvB<=4k,kp<=512,0.0066,2
16,n<=8,sr<=70%,kvB<=4k,kp=0,-0.061,2
16,n<=8,sr<=70%,kvB<=8k,kp<=1k,-0.0347,1
16,n<=8,sr<=70%,kvB<=8k,kp<=2k,-0.0065,1
16,n<=8,sr<=70%,kvB<=8k,kp<=4k,0.0599,1
16,n<=8,sr<=70%,kvB<=8k,kp<=512,-0.0177,1
16,n<=8,sr<=70%,kvB<=8k,kp=0,-0.022,1
16,n<=8,sr>70%,kvB<=1k,kp<=1k,0.4391,4
16,n<=8,sr>70%,kvB<=1k,kp<=2k,0.2611,4
16,n<=8,sr>70%,kvB<=1k,kp<=4k,0.3576,4
16,n<=8,sr>70%,kvB<=1k,kp<=512,0.5526,4
16,n<=8,sr>70%,kvB<=1k,kp=0,0.4323,4
16,n<=8,sr>70%,kvB<=4k,kp<=1k,-0.1903,4
16,n<=8,sr>70%,kvB<=4k,kp<=2k,0.0242,4
16,n<=8,sr>70%,kvB<=4k,kp<=4k,0.0095,4
16,n<=8,sr>70%,kvB<=4k,kp<=512,-0.2377,4
16,n<=8,sr>70%,kvB<=4k,kp=0,-0.3376,4
16,n<=8,sr>70%,kvB<=8k,kp<=1k,-0.3353,2
16,n<=8,sr>70%,kvB<=8k,kp<=2k,-0.3728,2
16,n<=8,sr>70%,kvB<=8k,kp<=4k,-0.1024,2
16,n<=8,sr>70%,kvB<=8k,kp<=512,-0.3305,2
16,n<=8,sr>70%,kvB<=8k,kp=0,-0.3354,2
32,n<=16,sr<=15%,kvB<=1k,kp<=1k,0.0512,4
32,n<=16,sr<=15%,kvB<=1k,kp<=2k,0.048,4
32,n<=16,sr<=15%,kvB<=1k,kp<=4k,0.0465,4
32,n<=16,sr<=15%,kvB<=1k,kp<=512,0.079,4
32,n<=16,sr<=15%,kvB<=1k,kp=0,0.1067,4
32,n<=16,sr<=15%,kvB<=4k,kp<=1k,0.083,4
32,n<=16,sr<=15%,kvB<=4k,kp<=2k,0.066,4
32,n<=16,sr<=15%,kvB<=4k,kp<=4k,0.0246,4
32,n<=16,sr<=15%,kvB<=4k,kp<=512,0.0807,4
32,n<=16,sr<=15%,kvB<=4k,kp=0,0.0746,4
32,n<=16,sr<=15%,kvB<=8k,kp<=1k,0.0345,2
32,n<=16,sr<=15%,kvB<=8k,kp<=2k,0.0352,2
32,n<=16,sr<=15%,kvB<=8k,kp<=4k,0.0351,2
32,n<=16,sr<=15%,kvB<=8k,kp<=512,0.0323,2
32,n<=16,sr<=15%,kvB<=8k,kp=0,0.0314,2
32,n<=16,sr<=40%,kvB<=1k,kp<=1k,0.1277,4
32,n<=16,sr<=40%,kvB<=1k,kp<=2k,0.1229,4
32,n<=16,sr<=40%,kvB<=1k,kp<=4k,0.1167,4
32,n<=16,sr<=40%,kvB<=1k,kp<=512,0.1524,4
32,n<=16,sr<=40%,kvB<=1k,kp=0,0.1778,4
32,n<=16,sr<=40%,kvB<=4k,kp<=1k,0.0428,4
32,n<=16,sr<=40%,kvB<=4k,kp<=2k,0.0316,4
32,n<=16,sr<=40%,kvB<=4k,kp<=4k,-0.0101,4
32,n<=16,sr<=40%,kvB<=4k,kp<=512,0.0459,4
32,n<=16,sr<=40%,kvB<=4k,kp=0,0.0344,4
32,n<=16,sr<=40%,kvB<=8k,kp<=1k,0.0232,2
32,n<=16,sr<=40%,kvB<=8k,kp<=2k,0.0254,2
32,n<=16,sr<=40%,kvB<=8k,kp<=4k,0.0259,2
32,n<=16,sr<=40%,kvB<=8k,kp<=512,0.0231,2
32,n<=16,sr<=40%,kvB<=8k,kp=0,0.0211,2
32,n<=16,sr<=70%,kvB<=1k,kp<=1k,0.0153,2
32,n<=16,sr<=70%,kvB<=1k,kp<=2k,0.0008,2
32,n<=16,sr<=70%,kvB<=1k,kp<=4k,-0.0405,2
32,n<=16,sr<=70%,kvB<=1k,kp<=512,0.037,2
32,n<=16,sr<=70%,kvB<=1k,kp=0,0.0548,2
32,n<=16,sr<=70%,kvB<=4k,kp<=1k,-0.0313,2
32,n<=16,sr<=70%,kvB<=4k,kp<=2k,-0.0572,2
32,n<=16,sr<=70%,kvB<=4k,kp<=4k,-0.0619,2
32,n<=16,sr<=70%,kvB<=4k,kp<=512,-0.0385,2
32,n<=16,sr<=70%,kvB<=4k,kp=0,-0.0635,2
32,n<=16,sr<=70%,kvB<=8k,kp<=1k,0.0116,1
32,n<=16,sr<=70%,kvB<=8k,kp<=2k,0.0098,1
32,n<=16,sr<=70%,kvB<=8k,kp<=4k,0.0092,1
32,n<=16,sr<=70%,kvB<=8k,kp<=512,0.0111,1
32,n<=16,sr<=70%,kvB<=8k,kp=0,0.0099,1
32,n<=16,sr>70%,kvB<=1k,kp<=1k,0.1929,4
32,n<=16,sr>70%,kvB<=1k,kp<=2k,0.1919,4
32,n<=16,sr>70%,kvB<=1k,kp<=4k,0.1362,4
32,n<=16,sr>70%,kvB<=1k,kp<=512,0.2244,4
32,n<=16,sr>70%,kvB<=1k,kp=0,0.2048,4
32,n<=16,sr>70%,kvB<=4k,kp<=1k,-0.2624,4
32,n<=16,sr>70%,kvB<=4k,kp<=2k,-0.2765,4
32,n<=16,sr>70%,kvB<=4k,kp<=4k,-0.1707,4
32,n<=16,sr>70%,kvB<=4k,kp<=512,-0.2519,4
32,n<=16,sr>70%,kvB<=4k,kp=0,-0.3349,4
32,n<=16,sr>70%,kvB<=8k,kp<=1k,-0.6165,2
32,n<=16,sr>70%,kvB<=8k,kp<=2k,-0.7204,2
32,n<=16,sr>70%,kvB<=8k,kp<=4k,-0.4701,2
32,n<=16,sr>70%,kvB<=8k,kp<=512,-0.6207,2
32,n<=16,sr>70%,kvB<=8k,kp=0,-0.6181,2
32,n<=2,sr<=70%,kvB<=1k,kp<=1k,0.6313,2
32,n<=2,sr<=70%,kvB<=1k,kp<=2k,0.5686,2
32,n<=2,sr<=70%,kvB<=1k,kp<=4k,0.5323,2
32,n<=2,sr<=70%,kvB<=1k,kp<=512,0.4396,2
32,n<=2,sr<=70%,kvB<=1k,kp=0,-0.2633,2
32,n<=2,sr<=70%,kvB<=4k,kp<=1k,0.0343,2
32,n<=2,sr<=70%,kvB<=4k,kp<=2k,0.2908,2
32,n<=2,sr<=70%,kvB<=4k,kp<=4k,0.6827,2
32,n<=2,sr<=70%,kvB<=4k,kp<=512,-0.0278,2
32,n<=2,sr<=70%,kvB<=4k,kp=0,-0.1227,2
32,n<=2,sr<=70%,kvB<=8k,kp<=1k,-0.0793,1
32,n<=2,sr<=70%,kvB<=8k,kp<=2k,-0.0706,1
32,n<=2,sr<=70%,kvB<=8k,kp<=4k,0.2476,1
32,n<=2,sr<=70%,kvB<=8k,kp<=512,-0.1004,1
